Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-14,2025-04-21,Transavia France,4h 30m,0,768.0,752.99,270,Short,Affordable,Spring,170.67
2025-04-14,2025-04-21,Pegasus Airlines,8h 20m,1,1155.0,1139.99,500,Long,Expensive,Spring,138.6
2025-04-14,2025-04-21,Pegasus Airlines,7h 10m,1,1260.0,1244.99,430,Medium,Expensive,Spring,175.81
2025-04-14,2025-04-21,MEA,4h 40m,0,1202.0,1186.99,280,Short,Expensive,Spring,257.57
2025-04-14,2025-04-21,Pegasus Airlines,8h 10m,1,978.0,962.99,490,Long,Expensive,Spring,119.76
2025-04-14,2025-04-21,MEA,4h 40m,0,1325.0,1309.99,280,Short,Expensive,Spring,283.93
2025-04-14,2025-04-21,MEA,4h 15m,0,837.0,821.99,255,Short,Affordable,Spring,196.94
2025-04-14,2025-04-21,MEA,4h 40m,0,878.0,862.99,280,Short,Affordable,Spring,188.14
2025-04-14,2025-04-21,MEA,4h 15m,0,1298.0,1282.99,255,Short,Expensive,Spring,305.41
2025-04-14,2025-04-21,TAROM,7h 55m,1,1059.0,1043.99,475,Long,Expensive,Spring,133.77
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1298.0,1282.99,270,Short,Expensive,Spring,288.44
2025-04-14,2025-04-21,Turkish Airlines,7h 35m,1,1374.0,1358.99,455,Medium,Expensive,Spring,181.19
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1017.0,1001.99,270,Short,Expensive,Spring,226.0
2025-04-14,2025-04-21,MEA,4h 40m,0,1083.0,1067.99,280,Short,Expensive,Spring,232.07
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1040.0,1024.99,270,Short,Expensive,Spring,231.11
2025-04-14,2025-04-21,Turkish Airlines,7h 25m,1,1231.0,1215.99,445,Medium,Expensive,Spring,165.98
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1981.0,1965.99,270,Short,Expensive,Spring,440.22
2025-04-14,2025-04-21,Royal Jordanian,8h 15m,1,1095.0,1079.99,495,Long,Expensive,Spring,132.73
2025-04-14,2025-04-21,Turkish Airlines,7h 35m,1,1981.0,1965.99,455,Medium,Expensive,Spring,261.23
2025-04-14,2025-04-21,MEA,4h 40m,0,1041.0,1025.99,280,Short,Expensive,Spring,223.07
2025-04-14,2025-04-21,Air France,4h 15m,0,1064.0,1048.99,255,Short,Expensive,Spring,250.35
2025-04-14,2025-04-21,Air France,4h 40m,0,1231.0,1215.99,280,Short,Expensive,Spring,263.79
2025-04-14,2025-04-21,MEA,4h 20m,0,1299.0,1283.99,260,Short,Expensive,Spring,299.77
2025-04-14,2025-04-21,MEA,4h 40m,0,764.0,748.99,280,Short,Affordable,Spring,163.71
2025-04-14,2025-04-21,MEA,4h 40m,0,1404.0,1388.99,280,Short,Expensive,Spring,300.86
2025-04-14,2025-04-21,MEA,4h 15m,0,1498.0,1482.99,255,Short,Expensive,Spring,352.47
2025-04-14,2025-04-21,Turkish Airlines,7h 35m,1,1498.0,1482.99,455,Medium,Expensive,Spring,197.54
2025-04-14,2025-04-21,Pegasus Airlines,7h 10m,1,1376.0,1360.99,430,Medium,Expensive,Spring,192.0
2025-04-14,2025-04-21,Pegasus Airlines,8h 20m,1,1325.0,1309.99,500,Long,Expensive,Spring,159.0
