Departure,Return,Airline,Duration,Transit,Price,Competitor Price
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$580,$580
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$571,$695
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$430,$695
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$679,$722
2025-04-07,2025-04-14,"Ryanair, Pegasus Airlines",18h 30m,2 stops,$679,$677
2025-04-07,2025-04-14,"Ajet, Transavia France",42h 50m,2 stops,$667,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$706,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$894,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$833,$681
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,"$1,170",$681
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$833,$823
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$709,$823
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$858,$626
2025-04-07,2025-04-14,Air France,4h 15m,nonstop,$756,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,$723,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$656,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$656,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$792,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$792,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$791,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$856,N/A
2025-04-07,2025-04-14,TAROM,7h 55m,1 stop,$856,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$978,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$978,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$508,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$641,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$641,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$973,N/A
2025-04-07,2025-04-14,Turkish Airlines,7h 25m,1 stop,$973,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$664,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,"$1,002",N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$669,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$881,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$881,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$689,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$625,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,"$1,398",N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$580,$580
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$571,$695
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$430,$695
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$679,$722
2025-04-07,2025-04-14,"Ryanair, Pegasus Airlines",18h 30m,2 stops,$679,$677
2025-04-07,2025-04-14,"Ajet, Transavia France",42h 50m,2 stops,$667,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$706,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$894,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$833,$681
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,"$1,170",$681
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$833,$823
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$709,$823
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$858,$626
2025-04-07,2025-04-14,Air France,4h 15m,nonstop,$756,$769
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,$723,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$656,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$656,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$792,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$792,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$791,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$856,N/A
2025-04-07,2025-04-14,TAROM,7h 55m,1 stop,$856,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$978,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$978,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$508,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$641,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$641,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$973,N/A
2025-04-07,2025-04-14,Turkish Airlines,7h 25m,1 stop,$973,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$664,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,"$1,002",N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$669,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$881,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$881,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$689,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$625,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,"$1,398",N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$723,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$690,N/A
2025-04-07,2025-04-14,Turkish Airlines,6h 55m,1 stop,"$1,124",N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,"$1,124",N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$819,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$819,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$870,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$846,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,"$1,002",N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$738,N/A
2025-04-07,2025-04-14,TAROM,7h 55m,1 stop,$758,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$956,N/A
2025-04-07,2025-04-14,TAROM,7h 55m,1 stop,"$1,156",N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,"$1,156",N/A
2025-04-07,2025-04-14,Turkish Airlines,7h 25m,1 stop,$997,N/A
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,$738,$862
2025-04-14,2025-04-21,Pegasus Airlines,13h 35m,1 stop,$846,$1
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,$669,$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,057",$1
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,"$1,256",$1
2025-04-14,2025-04-21,Ajet,15h 25m,2 stops,"$1,256",$872
2025-04-14,2025-04-21,MEA,4h 15m,nonstop,"$1,195",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,$859,$1
2025-04-14,2025-04-21,MEA,4h 20m,nonstop,"$1,409",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,393",$1
2025-04-14,2025-04-21,MEA,4h 15m,nonstop,"$1,608",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,605",N/A
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,"$1,611",N/A
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,568",N/A
2025-04-14,2025-04-21,Pegasus Airlines,7h 10m,1 stop,$758,N/A
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,205",N/A
2025-04-14,2025-04-21,MEA,4h 15m,nonstop,"$1,059",N/A
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,$738,$862
2025-04-14,2025-04-21,Pegasus Airlines,13h 35m,1 stop,$846,$1
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,$669,$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,057",$1
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,"$1,256",$1
2025-04-14,2025-04-21,Ajet,15h 25m,2 stops,"$1,256",$872
2025-04-14,2025-04-21,MEA,4h 15m,nonstop,"$1,195",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,$859,$1
2025-04-14,2025-04-21,MEA,4h 20m,nonstop,"$1,409",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,393",$1
2025-04-14,2025-04-21,MEA,4h 15m,nonstop,"$1,608",$1
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,605",N/A
2025-04-14,2025-04-21,Transavia France,4h 30m,nonstop,"$1,611",N/A
2025-04-14,2025-04-21,MEA,4h 40m,nonstop,"$1,568",N/A
