Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1335.0,1377.84,1435,Medium,Affordable,Spring,55.82
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1691.0,1733.84,1310,Medium,Expensive,Spring,77.45
2025-04-09,2025-04-16,Qatar Airways,24h 55m,1,1497.0,1539.84,1495,Medium,Expensive,Spring,60.08
2025-04-09,2025-04-16,Virgin Atlantic,21h 25m,1,1256.0,1298.84,1285,Medium,Affordable,Spring,58.65
2025-04-09,2025-04-16,Virgin Atlantic,18h 55m,1,1188.0,1230.84,1135,Medium,Affordable,Spring,62.8
2025-04-09,2025-04-16,Turkish Airlines,20h 45m,1,1580.0,1622.84,1245,Medium,Expensive,Spring,76.14
2025-04-09,2025-04-16,Turkish Airlines,17h 55m,1,1497.0,1539.84,1075,Medium,Expensive,Spring,83.55
2025-04-09,2025-04-16,Qatar Airways,27h 25m,1,1482.0,1524.84,1645,Long,Expensive,Spring,54.05
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1356.0,1398.84,1340,Medium,Affordable,Spring,60.72
2025-04-09,2025-04-16,Turkish Airlines,27h 00m,1,1302.0,1344.84,1620,Long,Affordable,Spring,48.22
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1645.0,1687.84,1435,Medium,Expensive,Spring,68.78
2025-04-09,2025-04-16,Qatar Airways,28h 07m,2,1503.0,1545.84,1687,Long,Expensive,Spring,53.46
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1245.0,1287.84,1340,Medium,Affordable,Spring,55.75
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1038.0,1080.84,1250,Medium,Affordable,Spring,49.82
2025-04-09,2025-04-16,Turkish Airlines,30h 10m,1,1497.0,1539.84,1810,Long,Expensive,Spring,49.62
2025-04-09,2025-04-16,Qatar Airways,19h 35m,1,1526.0,1568.84,1175,Medium,Expensive,Spring,77.92
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1032.0,1074.84,1310,Medium,Affordable,Spring,47.27
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,991.0,1033.84,1340,Medium,Affordable,Spring,44.37
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1076.0,1118.84,2430,Long,Affordable,Spring,26.57
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1066.0,1108.84,1340,Medium,Affordable,Spring,47.73
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1031.0,1073.84,1245,Medium,Affordable,Spring,49.69
2025-04-16,2025-04-23,Air France,35h 05m,1,1174.0,1216.84,2105,Long,Affordable,Spring,33.46
2025-04-16,2025-04-23,Air France,36h 20m,1,1019.0,1061.84,2180,Long,Affordable,Spring,28.05
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,991.0,1033.84,1310,Medium,Affordable,Spring,45.39
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1074.0,1116.84,1340,Medium,Affordable,Spring,48.09
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1053.0,1095.84,2430,Long,Affordable,Spring,26.0
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1031.0,1073.84,1340,Medium,Affordable,Spring,46.16
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1101.0,1143.84,1245,Medium,Affordable,Spring,53.06
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1232.0,1274.84,1430,Medium,Affordable,Spring,51.69
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1074.0,1116.84,1310,Medium,Affordable,Spring,49.19
2025-04-16,2025-04-23,Qatar Airways,27h 40m,1,1074.0,1116.84,1660,Long,Affordable,Spring,38.82
2025-04-16,2025-04-23,Turkish Airlines,26h 40m,1,1613.0,1655.84,1600,Long,Expensive,Spring,60.49
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1276.0,1318.84,1430,Medium,Affordable,Spring,53.54
2025-04-16,2025-04-23,Qatar Airways,26h 10m,2,1304.0,1346.84,1570,Medium,Affordable,Spring,49.83
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1101.0,1143.84,1340,Medium,Affordable,Spring,49.3
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1691.0,1733.84,1310,Medium,Expensive,Spring,77.45
2025-04-16,2025-04-23,Qatar Airways,24h 55m,1,1287.0,1329.84,1495,Medium,Affordable,Spring,51.65
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1179.0,1221.84,1245,Medium,Affordable,Spring,56.82
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1060.0,1102.84,2430,Long,Affordable,Spring,26.17
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,946.0,988.84,1340,Medium,Affordable,Spring,42.36
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,902.0,944.84,1310,Medium,Cheap,Spring,41.31
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1018.0,1060.84,1340,Medium,Affordable,Spring,45.58
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,976.0,1018.84,2430,Long,Affordable,Spring,24.1
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,979.0,1021.84,1340,Medium,Affordable,Spring,43.84
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1559.0,1601.84,1245,Medium,Expensive,Spring,75.13
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,948.0,990.84,1430,Medium,Affordable,Spring,39.78
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1253.0,1295.84,1310,Medium,Affordable,Spring,57.39
2025-04-16,2025-04-23,Qatar Airways,27h 40m,1,955.0,997.84,1660,Long,Affordable,Spring,34.52
2025-04-16,2025-04-23,Turkish Airlines,26h 40m,1,1232.0,1274.84,1600,Long,Affordable,Spring,46.2
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1493.0,1535.84,1430,Medium,Expensive,Spring,62.64
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1521.0,1563.84,1245,Medium,Expensive,Spring,73.3
2025-04-16,2025-04-23,Turkish Airlines,17h 55m,1,1226.0,1268.84,1075,Medium,Affordable,Spring,68.43
2025-04-16,2025-04-23,Qatar Airways,33h 15m,1,1018.0,1060.84,1995,Long,Affordable,Spring,30.62
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1018.0,1060.84,1340,Medium,Affordable,Spring,45.58
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1018.0,1060.84,1310,Medium,Affordable,Spring,46.63
2025-04-16,2025-04-23,"MEA, Qatar Airways",24h 55m,1,1802.0,1844.84,1495,Medium,Expensive,Spring,72.32
2025-04-16,2025-04-23,Turkish Airlines,32h 45m,1,1006.0,1048.84,1965,Long,Affordable,Spring,30.72
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,979.0,1021.84,1430,Medium,Affordable,Spring,41.08
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1101.0,1143.84,1310,Medium,Affordable,Spring,50.43
2025-04-16,2025-04-23,Qatar Airways,24h 55m,1,979.0,1021.84,1495,Medium,Affordable,Spring,39.29
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1424.0,1466.84,1245,Medium,Expensive,Spring,68.63
2025-04-16,2025-04-23,Turkish Airlines,19h 35m,1,1290.0,1332.84,1175,Medium,Affordable,Spring,65.87
2025-04-16,2025-04-23,Qatar Airways,19h 35m,1,1202.0,1244.84,1175,Medium,Affordable,Spring,61.38
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1348.0,1390.84,1340,Medium,Affordable,Spring,60.36
2025-04-16,2025-04-23,Turkish Airlines,22h 45m,1,1108.0,1150.84,1365,Medium,Affordable,Spring,48.7
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1018.0,1060.84,1430,Medium,Affordable,Spring,42.71
2025-04-16,2025-04-23,Emirates,31h 55m,1,1006.0,1048.84,1915,Long,Affordable,Spring,31.52
2025-04-16,2025-04-23,Emirates,25h 35m,1,1693.0,1735.84,1535,Medium,Expensive,Spring,66.18
2025-04-16,2025-04-23,Turkish Airlines,27h 00m,1,1254.0,1296.84,1620,Long,Affordable,Spring,46.44
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1455.0,1497.84,1430,Medium,Expensive,Spring,61.05
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,978.0,1020.84,1310,Medium,Affordable,Spring,44.79
2025-04-23,2025-04-30,Qatar Airways,22h 20m,1,1076.0,1118.84,1340,Medium,Affordable,Spring,48.18
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,978.0,1020.84,1240,Medium,Affordable,Spring,47.32
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1197.0,1239.84,1415,Medium,Affordable,Spring,50.76
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1076.0,1118.84,1310,Medium,Affordable,Spring,49.28
2025-04-23,2025-04-30,Qatar Airways,27h 40m,1,1195.0,1237.84,1660,Long,Affordable,Spring,43.19
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1095.0,1137.84,1310,Medium,Affordable,Spring,50.15
2025-04-23,2025-04-30,"MEA, Norse Atlantic Airways",21h 10m,1,1076.0,1118.84,1270,Medium,Affordable,Spring,50.83
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1195.0,1237.84,1255,Medium,Affordable,Spring,57.13
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1045.0,1087.84,1415,Medium,Affordable,Spring,44.31
2025-04-23,2025-04-30,Qatar Airways,19h 35m,1,1076.0,1118.84,1175,Medium,Affordable,Spring,54.94
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1076.0,1118.84,1310,Medium,Affordable,Spring,49.28
2025-04-23,2025-04-30,"Egyptair, Norse Atlantic Airways",24h 05m,2,1076.0,1118.84,1445,Medium,Affordable,Spring,44.68
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,1076.0,1118.84,1240,Medium,Affordable,Spring,52.06
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,966.0,1008.84,1310,Medium,Affordable,Spring,44.24
2025-04-23,2025-04-30,Qatar Airways,22h 20m,1,966.0,1008.84,1340,Medium,Affordable,Spring,43.25
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1074.0,1116.84,1310,Medium,Affordable,Spring,49.19
2025-04-23,2025-04-30,Qatar Airways,27h 40m,1,1074.0,1116.84,1660,Long,Affordable,Spring,38.82
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,1195.0,1237.84,1240,Medium,Affordable,Spring,57.82
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1111.0,1153.84,1415,Medium,Affordable,Spring,47.11
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1074.0,1116.84,1255,Medium,Affordable,Spring,51.35
2025-04-23,2025-04-30,Qatar Airways,19h 35m,1,1195.0,1237.84,1175,Medium,Affordable,Spring,61.02
2025-04-23,2025-04-30,Qatar Airways,24h 55m,1,1074.0,1116.84,1495,Medium,Affordable,Spring,43.1
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,1195.0,1237.84,1240,Medium,Affordable,Spring,57.82
