Location,Date,Average Temp (°C),Precipitation (mm),Rain
Beirut,2025-05-09,20.9,0.5,Yes
Paris,2025-05-09,14.8,3.1,Yes
Riyadh,2025-05-09,31.9,0.3,Yes
Cairo,2025-05-09,26.0,0.0,No
LA,2025-05-09,17.5,0.0,No
Istanbul,2025-05-09,15.5,1.6,Yes
Beirut,2025-05-10,21.2,0.1,Yes
Paris,2025-05-10,14.7,4.8,Yes
Riyadh,2025-05-10,31.9,0.2,Yes
Cairo,2025-05-10,25.7,0.0,No
LA,2025-05-10,17.6,0.1,Yes
Istanbul,2025-05-10,15.5,1.8,Yes
Beirut,2025-05-11,20.6,0.4,Yes
Paris,2025-05-11,13.5,4.3,Yes
Riyadh,2025-05-11,32.5,0.1,Yes
Cairo,2025-05-11,25.1,0.0,No
LA,2025-05-11,18.0,0.1,Yes
Istanbul,2025-05-11,16.3,1.0,Yes
Beirut,2025-05-12,20.8,0.5,Yes
Paris,2025-05-12,12.7,2.2,Yes
Riyadh,2025-05-12,32.8,0.0,No
Cairo,2025-05-12,24.9,0.0,No
LA,2025-05-12,19.1,0.1,Yes
Istanbul,2025-05-12,17.3,0.1,Yes
Beirut,2025-05-13,21.1,1.1,Yes
Paris,2025-05-13,12.7,2.1,Yes
Riyadh,2025-05-13,32.7,0.2,Yes
Cairo,2025-05-13,25.7,0.0,No
LA,2025-05-13,19.8,0.0,No
Istanbul,2025-05-13,17.8,0.2,Yes
Beirut,2025-05-14,21.8,1.1,Yes
Paris,2025-05-14,12.3,2.0,Yes
Riyadh,2025-05-14,32.0,0.0,No
Cairo,2025-05-14,26.4,0.0,No
LA,2025-05-14,19.3,0.5,Yes
Istanbul,2025-05-14,18.2,0.3,Yes
Beirut,2025-05-15,22.6,0.2,Yes
Paris,2025-05-15,12.2,1.2,Yes
Riyadh,2025-05-15,31.7,0.0,No
Cairo,2025-05-15,26.9,0.0,No
LA,2025-05-15,18.6,0.4,Yes
Istanbul,2025-05-15,19.1,0.5,Yes
Beirut,2025-05-16,23.5,0.0,No
Paris,2025-05-16,13.0,1.2,Yes
Riyadh,2025-05-16,32.0,0.0,No
Cairo,2025-05-16,27.7,0.0,No
LA,2025-05-16,18.5,0.8,Yes
Istanbul,2025-05-16,19.4,0.2,Yes
Beirut,2025-05-17,24.0,0.0,No
Paris,2025-05-17,13.8,1.3,Yes
Riyadh,2025-05-17,32.3,0.0,No
Cairo,2025-05-17,27.1,0.0,No
LA,2025-05-17,18.0,0.2,Yes
Istanbul,2025-05-17,18.6,1.5,Yes
Beirut,2025-05-18,23.2,0.3,Yes
Paris,2025-05-18,14.3,1.7,Yes
Riyadh,2025-05-18,32.6,0.2,Yes
Cairo,2025-05-18,27.0,0.0,No
LA,2025-05-18,17.8,0.3,Yes
Istanbul,2025-05-18,18.0,1.9,Yes
Beirut,2025-05-19,22.9,0.1,Yes
Paris,2025-05-19,14.0,1.8,Yes
Riyadh,2025-05-19,32.8,0.1,Yes
Cairo,2025-05-19,26.9,0.0,No
LA,2025-05-19,18.3,0.7,Yes
Istanbul,2025-05-19,18.0,1.3,Yes
Beirut,2025-05-20,22.4,0.7,Yes
Paris,2025-05-20,14.5,2.9,Yes
Riyadh,2025-05-20,33.6,0.0,No
Cairo,2025-05-20,27.1,0.0,No
LA,2025-05-20,18.8,0.1,Yes
Istanbul,2025-05-20,18.2,1.8,Yes
Beirut,2025-05-21,22.6,0.2,Yes
Paris,2025-05-21,15.6,3.1,Yes
Riyadh,2025-05-21,34.0,0.0,No
Cairo,2025-05-21,27.5,0.0,No
LA,2025-05-21,18.4,0.1,Yes
Istanbul,2025-05-21,17.9,1.7,Yes
Beirut,2025-05-22,23.2,0.0,No
Paris,2025-05-22,15.7,2.7,Yes
Riyadh,2025-05-22,33.7,0.0,No
Cairo,2025-05-22,28.0,0.0,No
LA,2025-05-22,17.9,0.1,Yes
Istanbul,2025-05-22,18.1,0.8,Yes
Beirut,2025-05-23,22.3,1.3,Yes
Paris,2025-05-23,15.2,2.5,Yes
Riyadh,2025-05-23,33.7,0.0,No
Cairo,2025-05-23,27.2,0.0,No
LA,2025-05-23,17.5,0.1,Yes
Istanbul,2025-05-23,18.5,0.8,Yes
Beirut,2025-05-24,22.4,0.9,Yes
Paris,2025-05-24,15.2,1.6,Yes
Riyadh,2025-05-24,33.9,0.0,No
Cairo,2025-05-24,27.0,0.0,No
LA,2025-05-24,17.8,0.0,No
Istanbul,2025-05-24,18.7,1.0,Yes
Beirut,2025-05-25,22.6,0.0,No
